Mean,Median,Std,Years,Month,grid
-0.08709677419354851,0.7,3.7955888375396922,1901.0,1.0,1901.0
-2.2392857142857148,-1.75,3.666296878900126,1901.0,2.0,1901.0833333333333
3.8129032258064517,3.2,3.241578004150023,1901.0,3.0,1901.1666666666667
9.87,10.25,3.239109072909848,1901.0,4.0,1901.25
14.041935483870967,15.0,3.597848819646576,1901.0,5.0,1901.3333333333333
17.926666666666666,18.65,3.7940001030059545,1901.0,6.0,1901.4166666666667
19.43870967741935,19.3,2.429633363199043,1901.0,7.0,1901.5
17.612903225806452,17.9,2.3260469951520575,1901.0,8.0,1901.5833333333333
15.073333333333332,14.95,2.226630875891032,1901.0,9.0,1901.6666666666667
9.341935483870971,8.6,2.5480416262361683,1901.0,10.0,1901.75
2.99,3.0,2.8293230578209414,1901.0,11.0,1901.8333333333333
1.5903225806451615,1.3,2.517453056657287,1901.0,12.0,1901.9166666666667
1.2096774193548387,0.9,3.34029488106561,1902.0,1.0,1902.0
1.425,0.75,2.974910518417754,1902.0,2.0,1902.0833333333333
5.919354838709677,5.5,2.5263173929442186,1902.0,3.0,1902.1666666666667
11.343333333333334,11.7,2.461942509389736,1902.0,4.0,1902.25
10.109677419354838,9.1,3.8227699240829445,1902.0,5.0,1902.3333333333333
16.03333333333333,16.3,3.5517196741407053,1902.0,6.0,1902.4166666666667
19.790322580645164,20.1,3.3293998296699736,1902.0,7.0,1902.5
17.700000000000003,17.3,2.582247083452705,1902.0,8.0,1902.5833333333333
14.296666666666665,14.6,3.1216135674307632,1902.0,9.0,1902.6666666666667
9.370967741935484,8.6,2.313034593830811,1902.0,10.0,1902.75
3.703333333333334,4.300000000000001,3.13824938387667,1902.0,11.0,1902.8333333333333
1.1290322580645162,1.1,3.783930368315208,1902.0,12.0,1902.9166666666667
1.1322580645161286,0.0,3.904389589233652,1903.0,1.0,1903.0
3.067857142857143,2.7,3.9065996933421734,1903.0,2.0,1903.0833333333333
6.293548387096773,6.1,2.731536256867305,1903.0,3.0,1903.1666666666667
6.466666666666668,6.9,2.506451445884143,1903.0,4.0,1903.25
13.245161290322578,12.3,3.623703327598937,1903.0,5.0,1903.3333333333333
15.349999999999996,14.45,2.819482711176057,1903.0,6.0,1903.4166666666667
18.112903225806452,17.7,2.7316346675551704,1903.0,7.0,1903.5
18.12258064516129,18.6,2.881748274620733,1903.0,8.0,1903.5833333333333
15.009999999999998,14.850000000000001,3.6181868196748717,1903.0,9.0,1903.6666666666667
10.754838709677417,8.6,4.223019355048978,1903.0,10.0,1903.75
5.230000000000001,5.2,2.337719194959642,1903.0,11.0,1903.8333333333333
0.7967741935483871,0.6,2.1030904039797784,1903.0,12.0,1903.9166666666667
0.05483870967741937,-1.1,3.384261486122432,1904.0,1.0,1904.0
3.344827586206896,2.7,3.3050379516836057,1904.0,2.0,1904.0833333333333
4.861290322580646,5.1,2.5784591547866773,1904.0,3.0,1904.1666666666667
11.069999999999999,11.0,2.804571391434914,1904.0,4.0,1904.25
14.677419354838708,15.8,3.942309786357853,1904.0,5.0,1904.3333333333333
17.793333333333337,17.7,2.2359034790920855,1904.0,6.0,1904.4166666666667
21.825806451612905,22.2,2.202872025627073,1904.0,7.0,1904.5
20.067741935483877,21.2,4.431432206166474,1904.0,8.0,1904.5833333333333
13.296666666666665,13.25,2.5987375361142564,1904.0,9.0,1904.6666666666667
9.787096774193548,9.8,2.2479237732455655,1904.0,10.0,1904.75
3.9533333333333327,4.15,4.099094377133037,1904.0,11.0,1904.8333333333333
1.8193548387096776,1.5,2.429323548485423,1904.0,12.0,1904.9166666666667
-1.77741935483871,-0.8,4.005305621083061,1905.0,1.0,1905.0
1.3678571428571427,1.55,1.64588230789099,1905.0,2.0,1905.0833333333333
6.79032258064516,6.6,2.5594732320941453,1905.0,3.0,1905.1666666666667
10.15,10.149999999999999,2.8324170255978465,1905.0,4.0,1905.25
12.129032258064518,12.0,3.053980304279111,1905.0,5.0,1905.3333333333333
17.826666666666664,17.799999999999997,2.550852911226487,1905.0,6.0,1905.4166666666667
21.990322580645163,21.5,2.183629217413017,1905.0,7.0,1905.5
18.629032258064516,18.3,3.2324596979583107,1905.0,8.0,1905.5833333333333
15.083333333333332,14.3,2.5861812259262367,1905.0,9.0,1905.6666666666667
6.038709677419353,6.9,2.801151836816995,1905.0,10.0,1905.75
4.656666666666666,4.55,2.5498726585287828,1905.0,11.0,1905.8333333333333
1.2354838709677418,0.6,2.4620517713344663,1905.0,12.0,1905.9166666666667
1.9096774193548385,1.2,4.184204810053293,1906.0,1.0,1906.0
0.5071428571428571,0.05,3.283846950399911,1906.0,2.0,1906.0833333333333
4.364516129032259,4.8,3.304900239250475,1906.0,3.0,1906.1666666666667
8.843333333333334,9.4,2.584794173534951,1906.0,4.0,1906.25
13.603225806451613,14.6,4.390404982911997,1906.0,5.0,1906.3333333333333
17.246666666666666,16.35,3.5362880727301236,1906.0,6.0,1906.4166666666667
19.670967741935485,20.3,2.7299808971721267,1906.0,7.0,1906.5
19.977419354838712,20.0,2.8658576002562017,1906.0,8.0,1906.5833333333333
15.06333333333333,13.25,5.042473622130815,1906.0,9.0,1906.6666666666667
11.574193548387095,11.7,2.4347440306167,1906.0,10.0,1906.75
6.1400000000000015,5.95,2.4623509932162606,1906.0,11.0,1906.8333333333333
-1.2032258064516128,-1.3,3.9961217758361456,1906.0,12.0,1906.9166666666667
0.2064516129032258,0.6,3.881403138374142,1907.0,1.0,1907.0
-1.05,-0.39999999999999997,3.497247595001066,1907.0,2.0,1907.0833333333333
