,Mean,Median,Std,Years,Mean_detrended,resid
0,9.181917808219179,9.1,7.951466907573529,1901.0,-0.029986185722204795,-0.06257006631194573
1,9.378904109589042,8.6,7.113013835828794,1902.0,0.13718293998402054,0.1212140889646029
2,9.506301369863014,8.7,6.918512255680668,1903.0,0.23476302459434706,0.19457325869623743
3,10.235792349726776,9.75,7.780298462461604,1904.0,0.9344368287944711,0.8367996732426133
4,9.55041095890411,8.7,7.876755418924083,1905.0,0.219238262308167,-0.0444986287730087
5,9.862465753424658,9.9,7.955217339227504,1906.0,0.5014758811650779,0.22905405568840315
6,9.556986301369864,9.1,7.212758591348013,1907.0,0.1661792534466393,-0.004789040192590827
7,9.279781420765026,8.55,7.729656531119512,1908.0,-0.1408428028218367,-0.30566218816861745
8,9.005753424657534,10.1,7.315289182127693,1909.0,-0.4446879745929664,-0.4713259461347101
9,9.6586301369863,9.0,6.286350405046106,1910.0,0.17837156207215443,0.28294744495869295
10,10.586849315068493,10.1,7.916035484582275,1911.0,1.0767735644907095,1.1206703305236139
11,9.426775956284153,8.9,6.316106307855549,1912.0,-0.11311696995726805,-0.39362290679604606
12,10.054794520547945,10.2,6.238656543351619,1913.0,0.4850844186428791,0.249437659678631
13,9.528219178082193,9.9,6.986324817622173,1914.0,-0.07130809948651162,-0.164697226800674
14,9.865479452054794,9.4,6.992933057756484,1915.0,0.23613499882245215,0.12395924055397431
15,9.698907103825137,9.9,6.37160214316609,1916.0,0.03974547492915015,-0.011629070640492997
16,8.947123287671232,7.4,8.429710910965493,1917.0,-0.7418555168883927,-0.8213593080024446
17,9.838904109589041,9.5,6.959152318603683,1918.0,0.12010812936577864,0.2456616007508761
18,9.566849315068493,8.4,7.488975207683466,1919.0,-0.18176384081840702,-0.05950702592182436
19,10.564754098360655,10.9,6.802871135983055,1920.0,0.78632376681011,0.7784115564554829
20,10.793424657534246,10.6,7.616369051274663,1921.0,0.9851771503200624,0.8449796795739679
21,9.528493150684932,8.8,7.279133143209694,1922.0,-0.3095715321928889,-0.7069099967521828
22,10.397260273972602,10.1,7.13166928278327,1923.0,0.5293784154311361,0.35470133829017436
23,9.645628415300546,10.05,7.271028644505381,1924.0,-0.2520706189045576,-0.310737391384319
24,9.913698630136986,9.9,6.997124901482656,1925.0,-0.013817579731755458,-0.0985978174250097
25,10.329041095890409,10.1,6.830412792294595,1926.0,0.37170771035802197,0.4122436885427266
26,10.158904109589042,10.1,6.959202848762947,1927.0,0.17175354839301704,0.07958097155662627
27,10.867486338797814,9.6,7.419220334814514,1928.0,0.8505186019381519,0.7135201853747948
28,9.839452054794519,9.9,8.589476037572378,1929.0,-0.2073328577287885,-0.4396938857962994
29,10.704657534246575,10.3,6.74332027696073,1930.0,0.6280554460596299,0.46235308057163094
30,9.700547945205482,9.7,7.302016861688403,1931.0,-0.40587131864510084,-0.5077160235986868
31,9.85464480874317,9.4,7.591546687360241,1932.0,-0.2815916307710502,-0.35667850780940696
32,9.719178082191782,10.7,7.993525153368836,1933.0,-0.44687553298608407,-0.31677238935536306
33,10.705479452054794,10.6,7.246433196334921,1934.0,0.5096086612132904,0.646057905921011
34,10.294520547945206,9.6,7.5556305038496285,1935.0,0.06883258144006454,0.04489662429967836
