"","January","February","March","April","May","June","July","August","September","October","November","December"
"1",0.153846153846154,0.423076923076923,0.288461538461538,0.0384615384615385,0.0961538461538462,0.192307692307692,0.134615384615385,0.846153846153846,0.173076923076923,0.730769230769231,0.903846153846154,0.0384615384615385
"2",0.942307692307692,0.346153846153846,0.442307692307692,0.192307692307692,0.288461538461538,0.480769230769231,0.75,0.807692307692308,0.134615384615385,0.826923076923077,0.442307692307692,0.0192307692307692
"3",0.134615384615385,0.788461538461538,0.192307692307692,0.0384615384615385,0.0192307692307692,0.557692307692308,0.538461538461538,0.615384615384615,0.0384615384615385,0.692307692307692,0.903846153846154,0.173076923076923
"4",0.634615384615385,0.442307692307692,0.942307692307692,0.557692307692308,0.0384615384615385,0.0384615384615385,0.903846153846154,0.730769230769231,0.557692307692308,0.826923076923077,0.115384615384615,0.384615384615385
"5",0.384615384615385,0.980769230769231,0.653846153846154,0.846153846153846,0.384615384615385,0.442307692307692,0.403846153846154,0.346153846153846,0.25,0.903846153846154,0.923076923076923,0.5
"6",0.730769230769231,0.0576923076923077,0.346153846153846,0.942307692307692,0.0384615384615385,0.0769230769230769,0.288461538461538,0.230769230769231,0.75,0.346153846153846,0.807692307692308,0.423076923076923
"7",0.134615384615385,0.615384615384615,0.153846153846154,0.75,0.0576923076923077,0.653846153846154,0.403846153846154,0.269230769230769,0.0192307692307692,0.576923076923077,0.5,0.769230769230769
"8",0.0384615384615385,0.461538461538462,0.153846153846154,0.673076923076923,0.846153846153846,0.788461538461538,0.730769230769231,0.134615384615385,0.0769230769230769,0.596153846153846,0.865384615384615,0.846153846153846
"9",0.0769230769230769,0.134615384615385,0.230769230769231,0.596153846153846,0.269230769230769,0.461538461538462,0.384615384615385,0.807692307692308,0.865384615384615,0.961538461538462,0.365384615384615,0.0769230769230769
"10",0.0576923076923077,0.673076923076923,0.423076923076923,0.826923076923077,0.230769230769231,0.538461538461538,0.326923076923077,0.788461538461538,0.211538461538462,0.365384615384615,0.115384615384615,0.923076923076923
"11",0.0576923076923077,0.711538461538462,0.442307692307692,0.711538461538462,0.673076923076923,0.5,0.173076923076923,0.730769230769231,0.0576923076923077,0.557692307692308,0.211538461538462,0.365384615384615
"12",0.115384615384615,0.961538461538462,0.769230769230769,0.134615384615385,0.326923076923077,0.0961538461538462,0.288461538461538,0.0961538461538462,0.788461538461538,0.692307692307692,0.403846153846154,0.442307692307692
"13",0.192307692307692,0.75,0.519230769230769,0.307692307692308,0.903846153846154,0.384615384615385,0.0384615384615385,0.884615384615385,0.153846153846154,0.576923076923077,0.211538461538462,0.692307692307692
"14",0.326923076923077,0.0961538461538462,0.403846153846154,0.942307692307692,0.326923076923077,0.903846153846154,0.192307692307692,0.326923076923077,0.0961538461538462,0.788461538461538,0.846153846153846,0.673076923076923
"15",0.0769230769230769,0.923076923076923,0.673076923076923,0.865384615384615,0.403846153846154,0.461538461538462,0.269230769230769,0.557692307692308,0.807692307692308,0.153846153846154,0.576923076923077,0.230769230769231
"16",0.634615384615385,0.673076923076923,0.173076923076923,0.807692307692308,0.346153846153846,0.211538461538462,0.423076923076923,0.692307692307692,0.0192307692307692,0.134615384615385,0.384615384615385,0.365384615384615
"17",0.0576923076923077,0.75,0.615384615384615,0.980769230769231,0.269230769230769,0.153846153846154,0.173076923076923,0.576923076923077,0.442307692307692,0.769230769230769,0.846153846153846,0.211538461538462
"18",0.942307692307692,0.961538461538462,0.884615384615385,0.807692307692308,0.0384615384615385,0.346153846153846,0.423076923076923,0.307692307692308,0.269230769230769,0.865384615384615,0.346153846153846,0.230769230769231
"19",0.730769230769231,0.615384615384615,0.961538461538462,0.230769230769231,0.0192307692307692,0.0192307692307692,0.134615384615385,0.653846153846154,0.269230769230769,0.673076923076923,0.403846153846154,0.557692307692308
"20",0.461538461538462,0.307692307692308,0.769230769230769,0.884615384615385,0.0192307692307692,0.903846153846154,0.134615384615385,0.538461538461538,0.0961538461538462,0.557692307692308,0.538461538461538,0.230769230769231
"21",0.942307692307692,0.403846153846154,0.980769230769231,0.576923076923077,0.788461538461538,0.192307692307692,0.538461538461538,0.326923076923077,0.519230769230769,0.788461538461538,0.807692307692308,0.326923076923077
"22",0.269230769230769,0.961538461538462,0.884615384615385,0.461538461538462,0.423076923076923,0.596153846153846,0.365384615384615,0.884615384615385,0.211538461538462,0.461538461538462,0.230769230769231,0.557692307692308
"23",0.826923076923077,0.980769230769231,0.211538461538462,0.615384615384615,0.423076923076923,0.384615384615385,0.0769230769230769,0.615384615384615,0.5,0.865384615384615,0.288461538461538,0.346153846153846
"24",0.235294117647059,0.807692307692308,0.75,0.0196078431372549,0.134615384615385,0.442307692307692,0.192307692307692,0.711538461538462,0.826923076923077,0.384615384615385,0.826923076923077,0.0192307692307692
"25",0.5,0.134615384615385,0.211538461538462,0.5,0.192307692307692,0.807692307692308,0.431372549019608,0.884615384615385,0.519230769230769,0.615384615384615,0.5,0.288461538461538
"26",0.480769230769231,0.788461538461538,0.538461538461538,0.634615384615385,0.5,0.384615384615385,0.865384615384615,0.865384615384615,0.211538461538462,0.461538461538462,0.980769230769231,0.442307692307692
"27",0.346153846153846,0.0384615384615385,0.442307692307692,0.666666666666667,0.942307692307692,0.403846153846154,0.557692307692308,0.647058823529412,0.673076923076923,0.192307692307692,0.134615384615385,0.461538461538462
"28",0.307692307692308,0.75,0.0196078431372549,0.653061224489796,0.769230769230769,0.64,0.634615384615385,0.38,0.0384615384615385,0.307692307692308,0.0961538461538462,0.961538461538462
"29",0.269230769230769,0.711538461538462,0.25,0.638297872340426,0.25,0.122448979591837,0.75,0.333333333333333,0.653846153846154,0.75,0.326923076923077,0.230769230769231
"30",0.596153846153846,0.588235294117647,0.134615384615385,0.872340425531915,0.274509803921569,0.254901960784314,0.288461538461538,0.4,0.557692307692308,0.608695652173913,0.576923076923077,0.807692307692308
"31",0.725490196078431,0.392156862745098,0.36,0.04,0.230769230769231,0.0425531914893617,0.25,0.228571428571429,0.673076923076923,0.25,0.448979591836735,0.784313725490196
