"","January","February","March","April","May","June","July","August","September","October","November","December"
"90% quantile",10,11.9,16.3,20.8,25.1,28.61,31,30.4,26,20,13.7,10.5
"rule of thumb 2",13,15.4,19.9,24,28.5,31.7,34.3,33.9,29.2,23.5,17.2,14
"rule of thumb 3",12.3,14.3,18.9,23,27.6,31,33.4,32.9,28.3,22.5,16.2,13
