"","January","February","March","April","May","June","July","August","September","October","November","December"
"1",0.0244990819360476,0.197715494515909,0.367508146030783,0.0433405612341175,0.0149047066433906,0.114980891710923,0.293930843144538,0.480317765140726,0.0962923874754904,0.274059834856198,0.0064164283274514,0.00654556610712219
"2",0.0236987225968757,0.222668388107797,0.159746089579797,0.0940498876616651,0.01264219473547,0.0971752029431844,0.224468428242336,0.395647473052149,0.070615478355253,0.136057767414579,0.0359292030460353,1.12154456523284e-07
"3",0.0218098299937945,0.366959765308297,0.176706290174745,0.065387339902878,5.94529905544267e-07,0.0975842142039597,0.157406696663328,0.322778601466172,0.0107636645102217,0.0963395646568445,0.217167846711465,0.06754134694176
"4",0.0042179400300367,0.401135720051523,0.0798303327116121,0.176303562888185,0.00465024120635904,0.0791041360171138,0.218854826654919,0.299373819268382,0.000641088191016446,0.0413087422365974,0.0735139609948666,0.114235118268225
"5",0.0027022892350849,0.431700626037108,0.190728335844822,0.181243139524269,0.0767002785259505,0.0916031128414363,0.022307872826364,0.423425115463834,0.000273420378509723,0.0237901889010178,0.0088410476645622,0.152871526524811
"6",0.00237226675077436,0.395480663479919,0.035896585104689,0.271251816044579,0.141710016000818,0.0958041335359137,0.125392317672108,0.290508876539789,0.00880626210317706,0.124174854978111,0.0107287254279981,0.188616135212272
"7",0.00398202342233859,0.301423280306075,0.019683422179243,0.200367680416245,0.211463992446023,0.0979938199944689,0.0976432024199621,0.109001151629235,9.80903612115075e-05,0.0525893907128231,0.138146562691058,0.234518078651792
"8",0.0107058975622508,0.145167053621438,0.00451569811960251,0.481548660066701,0.277192735124905,0.0797296487110332,0.32627238650951,0.344351960830169,0.0445099427871179,0.0265833228336025,0.137843200815991,0.0935652073025989
"9",0.0351124574669996,0.0902414970962296,0.357477526451998,0.355862647891421,0.136175991886092,0.0320606606464688,0.28177311610453,0.206438391427378,0.0509295754399309,0.000895010610719101,0.177667687616663,0.0314845433572108
"10",0.0650980874711141,0.0765156023503459,0.374480635359749,0.530926963513241,0.0180872186681128,0.0485575745976309,0.052925254938037,0.29424570084555,0.0262484185155352,0.00810804627136515,0.202543259814273,0.124011626212878
"11",0.142891855870038,0.183607887428509,0.60718415660401,0.394742225801627,0.12123964018735,0.0396731438677082,0.0803874557598129,0.277129998008954,0.0448366742322873,0.00813007981820088,0.206963746736677,0.13449956842091
"12",0.150765124726347,0.197011355829155,0.286298014309554,0.351524518652723,0.0814435050547479,0.0892230581513336,0.135601999073659,0.237624965336014,0.0684658569711924,0.0167918837395991,0.225414872485794,0.113053608922116
"13",0.196957307377541,0.355821433551328,0.650047765382934,0.151401186575627,0.150216989735498,0.057371138998907,0.176651263096347,0.206549369656207,0.0578683548694747,0.0107467041262954,0.251718550634632,0.171835932115027
"14",0.226810521689225,0.346416321026137,0.459492087524105,0.275830807848592,0.00740947438009972,0.0639709002026606,0.3386400881216,0.162179040187819,0.0379368485466415,0.11826297380309,0.293096596440036,0.193962209008995
"15",0.409952981722009,0.315592600817919,0.324736548402289,0.240887393100365,0.0108276433585293,0.0775574870677092,0.226871173197062,0.0828933845547032,0.00854716133438961,0.167288057271686,0.580641879809697,0.226983592988893
"16",0.0542412474785581,0.335861011596423,0.241573961864975,0.0711776939682158,0.0597734045484546,0.0781635535799975,0.383511991618246,0.0336884307379729,0.0316643082240104,0.248979148348574,0.597420193463108,0.218358840236466
"17",0.106529286772582,0.546686701517777,0.116660086364137,0.0255022490789799,0.0399496124731845,0.218067244630768,0.201046720259754,0.006009936361947,0.166589246335932,0.226036375571317,0.619170826637725,0.204903709275569
"18",0.47782273315424,0.110149291979914,0.321148334490505,0.0644430856545102,0.0377417435159816,0.176163586918754,0.344159933672997,0.000337011922414354,0.14742287135297,0.624032177800496,0.482256246439661,0.267889774590714
"19",0.396825166384102,0.067743387553023,0.385691355882626,0.0334213606888223,0.0893866964148552,0.104540652964334,0.377377667450929,0.244541388796342,0.0395427564970213,0.546003709664489,0.474769027499648,0.184759932568713
"20",0.0513994321475354,0.479837707639563,0.111303182950608,0.00153273166408602,0.0896783547481541,0.0489966186664097,0.264212376212872,0.648779824212738,0.000448590811856438,0.554868856874919,0.376694526007308,0.22744425219611
"21",0.0788491435714726,0.652325481459361,0.020908187536737,0.103710312090733,0.439916567481773,0.0110600696956632,0.362330167984109,0.504451753571053,0.431094552252876,0.161467830812639,0.511850907923526,0.121560639839445
"22",0.258949764066938,0.582829374367326,0.00788072561198176,0.18926370076057,0.444243601495071,0.00419673247771015,0.369313333373233,0.308808479265366,0.200269166698477,0.41898745091895,0.452885083341283,0.033955706301109
"23",0.0206078243129014,0.276311168190267,0.447446266029012,0.471341532521802,0.367565055999509,0.00274399613033986,0.224158453059249,0.436339572436533,0.421110103950947,0.215263510742326,0.254185639747105,0.0455616425272894
"24",0.461449830072296,0.224896364877742,0.937441196256855,0.858252988994865,0.0618107777999075,0.533818219440916,0.304977765402381,0.299571468809628,0.804861263617722,0.298341380623355,0.255972379146277,0.0413699678006263
"25",0.234315625644965,0.496998140091652,0.630955911342739,0.80704910994692,0.662124195357699,0.735363009227899,0.531933687898156,0.0438836404555006,0.666584139473358,0.26892134655105,0.143655368192408,0.0864262178019975
"26",0.2158122611268,0.622957917400145,0.576620220483009,0.715825952321328,0.716909377657131,0.646388605946937,0.47556036679057,0.134433398970511,0.0998096135538077,0.0961365219565627,0.105121685325418,0.198311273598554
"27",0.734215527758873,0.510474535952934,0.78987766440277,0.59918188015321,0.263481564081034,0.415166395165102,0.593594424928205,0.344658629014117,0.718330551464844,0.0243449691628095,0.042885411972713,0.0167232628266352
"28",0.776270941648688,0.355642282891946,0.598351944759868,0.535297435670578,0.546600172358188,0.618921526499641,0.556833480784761,0.672822887926238,0.232093562100023,0.217375264812829,0.0357383015608908,0.0429777283007842
"29",0.715522059817528,0.316143963138196,0.811896320895371,0.546496604788928,0.764845286320212,0.594251110896768,0.287442785350027,0.475766476796615,0.745626113524126,0.14124665263714,0.0724223384798578,0.00438577226172916
"30",0.39462061912083,0.192793912788712,0.484570415045699,0.493496562896049,0.737123397091178,0.349566547509707,0.0460953478013342,0.44100198011488,0.258453454711083,0.268744003244098,0.0594261168923397,0.534444703351017
"31",0.0372558899433809,0.0346605182441146,0.583769058575962,0.354689980109908,0.543618524019838,0.413291952337095,0.884811562892622,0.792702243101449,0.457834662576914,0.195673337711348,0.213127982915006,0.551545914424269
