"","January","February","March","April","May","June","July","August","September","October","November","December"
"1",0.0961538461538462,0.0384615384615385,0.0769230769230769,0.153846153846154,0.134615384615385,0.0576923076923077,0.0192307692307692,0.0769230769230769,0.0384615384615385,0.0384615384615385,0.0769230769230769,0.0192307692307692
"2",0.0384615384615385,0.0384615384615385,0.0769230769230769,0.0769230769230769,0.0576923076923077,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0576923076923077,0.0192307692307692,0.0384615384615385,0.0192307692307692
"3",0.0769230769230769,0.0576923076923077,0.0961538461538462,0.0576923076923077,0.0961538461538462,0.0576923076923077,0.0192307692307692,0.230769230769231,0.0384615384615385,0.0192307692307692,0.980769230769231,0.0576923076923077
"4",0.0769230769230769,0.0384615384615385,0.0576923076923077,0.115384615384615,0.0769230769230769,0.153846153846154,0.0384615384615385,0.0576923076923077,0.0769230769230769,0.192307692307692,0.576923076923077,0.0961538461538462
"5",0.0192307692307692,0.0384615384615385,0.0961538461538462,0.884615384615385,0.0192307692307692,0.0384615384615385,0.0384615384615385,0.673076923076923,0.115384615384615,0.730769230769231,0.846153846153846,0.0384615384615385
"6",0.115384615384615,0.576923076923077,0.0769230769230769,0.0961538461538462,0.0192307692307692,0.269230769230769,0.0192307692307692,0.846153846153846,0.0384615384615385,0.403846153846154,0.153846153846154,0.0769230769230769
"7",0.153846153846154,0.0576923076923077,0.0192307692307692,0.942307692307692,0.634615384615385,0.653846153846154,0.384615384615385,0.326923076923077,0.269230769230769,0.826923076923077,0.557692307692308,0.0192307692307692
"8",0.134615384615385,0.75,0.634615384615385,0.0192307692307692,0.538461538461538,0.0384615384615385,0.461538461538462,0.846153846153846,0.846153846153846,0.942307692307692,0.884615384615385,0.0192307692307692
"9",0.0576923076923077,0.115384615384615,0.346153846153846,0.134615384615385,0.0384615384615385,0.442307692307692,0.730769230769231,0.615384615384615,0.846153846153846,0.557692307692308,0.269230769230769,0.0192307692307692
"10",0.788461538461538,0.980769230769231,0.846153846153846,0.576923076923077,0.0576923076923077,0.730769230769231,0.884615384615385,0.307692307692308,0.461538461538462,0.865384615384615,0.153846153846154,0.403846153846154
"11",0.0961538461538462,0.634615384615385,0.153846153846154,0.769230769230769,0.230769230769231,0.442307692307692,0.5,0.346153846153846,0.0192307692307692,0.615384615384615,0.846153846153846,0.0576923076923077
"12",0.134615384615385,0.0961538461538462,0.211538461538462,0.307692307692308,0.326923076923077,0.634615384615385,0.403846153846154,0.769230769230769,0.0192307692307692,0.423076923076923,0.557692307692308,0.826923076923077
"13",0.134615384615385,0.942307692307692,0.442307692307692,0.923076923076923,0.480769230769231,0.153846153846154,0.461538461538462,0.0961538461538462,0.596153846153846,0.769230769230769,0.192307692307692,0.5
"14",0.346153846153846,0.0769230769230769,0.230769230769231,0.961538461538462,0.423076923076923,0.846153846153846,0.0961538461538462,0.365384615384615,0.192307692307692,0.173076923076923,0.75,0.0769230769230769
"15",0.557692307692308,0.596153846153846,0.153846153846154,0.576923076923077,0.5,0.211538461538462,0.576923076923077,0.576923076923077,0.0576923076923077,0.826923076923077,0.75,0.288461538461538
"16",0.576923076923077,0.75,0.25,0.211538461538462,0.0384615384615385,0.0384615384615385,0.0961538461538462,0.538461538461538,0.230769230769231,0.25,0.0384615384615385,0.846153846153846
"17",0.846153846153846,0.730769230769231,0.673076923076923,0.557692307692308,0.480769230769231,0.807692307692308,0.519230769230769,0.346153846153846,0.634615384615385,0.25,0.288461538461538,0.269230769230769
"18",0.326923076923077,0.884615384615385,0.173076923076923,0.211538461538462,0.538461538461538,0.461538461538462,0.25,0.730769230769231,0.596153846153846,0.403846153846154,0.730769230769231,0.0961538461538462
"19",0.176470588235294,0.711538461538462,0.557692307692308,0.647058823529412,0.5,0.25,0.826923076923077,0.846153846153846,0.326923076923077,0.730769230769231,0.211538461538462,0.423076923076923
"20",0.326530612244898,0.5,0.25,0.428571428571429,0.307692307692308,0.274509803921569,0.615384615384615,0.647058823529412,0.230769230769231,0.627450980392157,0.333333333333333,0.192307692307692
"21",0.725490196078431,0.36734693877551,0.313725490196078,0.0408163265306122,0.25,0.108695652173913,0.173076923076923,0.242424242424242,0.568627450980392,0.305555555555556,0.52,0.882352941176471
