"","dev"
"January",28.8928349427651
"February",34.561313253968
"March",36.3737021313711
"April",16.5237299635788
"May",34.7927745717066
"June",46.5195881886216
"July",37.9912630092592
"August",24.5878490822378
"September",40.5020354598018
"October",25.1339313778526
"November",44.5157358742925
"December",51.8482650030603
