"","dev"
"January",30.5684513970755
"February",0
"March",38.1988716999488
"April",0
"May",35.1344476858749
"June",48.8102248850466
"July",38.0005239574738
"August",26.3914150237649
"September",41.215793060785
"October",26.2784205399006
"November",46.3700767308955
"December",52.0941366539094
